Reserve,Reserve count (values),Genus_Species,Family,Genus,Species,ssp./var. designation,ssp./var. name,Division,Reserve count (formula),Synonym,Common Name,"Uncertainties in species ID, noted in original flora",Native/Exotic,Habitat (approx),Bloom Time (approx),,,,,,
Kenneth S Norris Rancho Marino,1,Agoseris sp.,Asteraceae,Agoseris,sp.,,,Angiosperm,1,,,,,,,,,,,,
Hastings,1,Agropyron desertorum,Poaceae,Agropyron,desertorum,,,Angiosperm,1,,,,,,,,,,,,
Bodega,1,Agrostis  pallens,Poaceae,Agrostis ,pallens,,,Angiosperm,1,,,,native,,,,,,,,
Bodega,1,Agrostis avenacea,Poaceae,Agrostis,avenacea,,,Angiosperm,1,,,,introduced,,,,,,,,
Jepson Prairie,2,Agrostis avenacea,Poaceae,Agrostis,avenacea,,,Angiosperm,2,,,,,,,,,,,,
Bodega,1,Agrostis blasdalei,Poaceae,Agrostis,blasdalei,,,Angiosperm,1,,Blasdale's bentgrass,,native,,,,,,,,
Bodega,1,Agrostis capillaris,Poaceae,Agrostis,capillaris,,,Angiosperm,1,,Colonial bentgrass,,introduced,,,,,,,,
Bodega,1,Agrostis densiflora,Poaceae,Agrostis,densiflora,,,Angiosperm,1,,,,native,,,,,,,,
Younger Lagoon,1,Agrostis diegoensis,Poaceae,Agrostis,diegoensis,,,Angiosperm,1,,Bent Grass  ,,,,,,,,,,
Angelo Coast Range,1,Agrostis exarata,Poaceae,Agrostis,exarata,,,Angiosperm,1,,,,,,,,,,,,
Blue Oak Ranch,2,Agrostis exarata,Poaceae,Agrostis,exarata,,,Angiosperm,2,,,,,,,,,,,,
Bodega,3,Agrostis exarata,Poaceae,Agrostis,exarata,,,Angiosperm,3,,Spike bent grass,,native,,,,,,,,
Boyd Deep Canyon,4,Agrostis exarata,Poaceae,Agrostis,exarata,,,Angiosperm,4,,,,,,,,,,,,
Elliot Chaparral,5,Agrostis exarata,Poaceae,Agrostis,exarata,,,Angiosperm,5,,,,,,,,,,,,
Hastings,6,Agrostis exarata,Poaceae,Agrostis,exarata,,,Angiosperm,6,,,,,,,,,,,,
Landells-Hill Big Creek,7,Agrostis exarata,Poaceae,Agrostis,exarata,,,Angiosperm,7,,Spike bentgrass,,,,,,,,,,
Quail Ridge,8,Agrostis exarata,Poaceae,Agrostis,exarata,,,Angiosperm,8,,Pacific bent grass  ,,,,,,,,,,
Scripps Coastal,9,Agrostis exarata,Poaceae,Agrostis,exarata,,,Angiosperm,9,,,,,,,,,,,,
Sedgewick,10,Agrostis exarata,Poaceae,Agrostis,exarata,,,Angiosperm,10,,,,,,,,,,,,
Stebbins Cold Canyon,11,Agrostis exarata,Poaceae,Agrostis,exarata,,,Angiosperm,11,,Pacific bent grass,,,Moist open or disturbed sites,June-August,,,,,,
Angelo Coast Range,1,Agrostis gigantea,Poaceae,Agrostis,gigantea,,,Angiosperm,1,,,,,,,,,,,,
Sagehen Creek,2,Agrostis gigantea,Poaceae,Agrostis,gigantea,,,Angiosperm,2,,,,,,,,,,,,
Kenneth S Norris Rancho Marino,1,Agrostis hallii,Poaceae,Agrostis,hallii,,,Angiosperm,1,,Halls Bent Grass,,,,,,,,,,
Valentine,1,Agrostis idahoensis,Poaceae,Agrostis,idahoensis,,,Angiosperm,1,,,,,Seep and Spring Vegetation,,,,,,,
Jepson Prairie,1,Agrostis microphylla,Poaceae,Agrostis,microphylla,,,Angiosperm,1,,,,,,,,,,,,
Landells-Hill Big Creek,1,Agrostis pallens,Poaceae,Agrostis,pallens,,,Angiosperm,1,A. diegoensis,Western bentgrass,,,,,,,,,,
Kenneth S Norris Rancho Marino,2,Agrostis pallens,Poaceae,Agrostis,pallens,,,Angiosperm,2,,Woodland Bent Grass,,,,,,,,,,
Sagehen Creek,3,Agrostis pallens,Poaceae,Agrostis,pallens,,,Angiosperm,3,,,,,,,,,,,,
Sedgewick,4,Agrostis pallens,Poaceae,Agrostis,pallens,,,Angiosperm,4,,,,,,,,,,,,
Valentine,5,Agrostis pallens,Poaceae,Agrostis,pallens,,,Angiosperm,5,,,,,Seep and Spring Vegetation,,,,,,,
James San Jacinto Mountains,1,Agrostis scabra,Poaceae,Agrostis,scabra,,,Angiosperm,1,,,,,,,,,,,,
Valentine,2,Agrostis scabra,Poaceae,Agrostis,scabra,,,Angiosperm,2,,,,,Seep and Spring Vegetation,,,,,,,
Angelo Coast Range,1,Agrostis stolonifera,Poaceae,Agrostis,stolonifera,,,Angiosperm,1,,,,,,,,,,,,
Bodega,2,Agrostis stolonifera,Poaceae,Agrostis,stolonifera,,,Angiosperm,2,,,,introduced,,,,,,,,
Boyd Deep Canyon,3,Agrostis stolonifera,Poaceae,Agrostis,stolonifera,,,Angiosperm,3,,,,,,,,,,,,
Carpinteria Salt Marsh,4,Agrostis stolonifera,Poaceae,Agrostis,stolonifera,,,Angiosperms,4,,"Redtop, Creeping Bent   ",,,,,,,,,,
Sagehen Creek,5,Agrostis stolonifera,Poaceae,Agrostis,stolonifera,,,Angiosperm,5,,,,,,,,,,,,
Valentine,6,Agrostis stolonifera,Poaceae,Agrostis,stolonifera,,,Angiosperm,6,,,,Exotic,Sierran Upper Montane Forest,,,,,,,
Jepson Prairie,1,Agrostis tandilensis,Poaceae,Agrostis,tandilensis,,,Angiosperm,1,,,,,,,,,,,,
Sagehen Creek,1,Agrostis thurberiana,Poaceae,Agrostis,thurberiana,,,Angiosperm,1,,,,,,,,,,,,
Sagehen Creek,1,Agrostis variabilis,Poaceae,Agrostis,variabilis,,,Angiosperm,1,,,,,,,,,,,,
Blue Oak Ranch,1,Agrostis viridis,Poaceae,Agrostis,viridis,,,Angiosperm,1,,,,,,,,,,,,
Boyd Deep Canyon,2,Agrostis viridis,Poaceae,Agrostis,viridis,,,Angiosperm,2,A.(Polypogon) semiverticillatus,,,,,,,,,,,
Carpinteria Salt Marsh,3,Agrostis viridis,Poaceae,Agrostis,viridis,,,Angiosperms,3,,Water Bent    ,,,,,,,,,,
Hastings,4,Agrostis viridis,Poaceae,Agrostis,viridis,,,Angiosperm,4,,,,,,,,,,,,
Kenneth S Norris Rancho Marino,5,Agrostis viridis,Poaceae,Agrostis,viridis,,,Angiosperm,5,,Water Bent Grass,,,,,,,,,,
Scripps Coastal,6,Agrostis viridis,Poaceae,Agrostis,viridis,,,Angiosperm,6,,,,,,,,,,,,
Sedgewick,7,Agrostis viridis,Poaceae,Agrostis,viridis,,,Angiosperm,7,,,,,,,,,,,,
Sweeney Granite Mountains ,8,Agrostis viridis,Poaceae,Agrostis,viridis,,,Angiosperm,8,A. semiverticillata,European needlegrass,,,,,,,,,,
McLaughlin,1,Ailanthus altissima,Simaroubaceae,Ailanthus,altissima,,,Angiosperm,1,,,,,,,,,,,,
Quail Ridge,2,Ailanthus altissima,Simaroubaceae,Ailanthus,altissima,,,Angiosperm,2,,Tree of heaven  ,,,,,,,,,,
Stunt Ranch Santa Monica Mountains,3,Ailanthus altissima,Simaroubaceae,Ailanthus,altissima,,,,3,,,,Exotic,,,,,,,,
Angelo Coast Range,1,Aira caryophyllea,Poaceae,Aira,caryophyllea,,,Angiosperm,1,,,,,,,,,,,,
Blue Oak Ranch,2,Aira caryophyllea,Poaceae,Aira,caryophyllea,,,Angiosperm,2,,,,,,,,,,,,
Bodega,3,Aira caryophyllea,Poaceae,Aira,caryophyllea,,,Angiosperm,3,,Silver hairgrass,,introduced,,,,,,,,
Hastings,4,Aira caryophyllea,Poaceae,Aira,caryophyllea,,,Angiosperm,4,,,,,,,,,,,,
Jepson Prairie,5,Aira caryophyllea,Poaceae,Aira,caryophyllea,,,Angiosperm,5,,,,,,,,,,,,
Landells-Hill Big Creek,6,Aira caryophyllea,Poaceae,Aira,caryophyllea,,,Angiosperm,6,,Silver European hairgrass,,,,,,,,,,
McLaughlin,7,Aira caryophyllea,Poaceae,Aira,caryophyllea,,,Angiosperm,7,,,,,,,,,,,,
Quail Ridge,8,Aira caryophyllea,Poaceae,Aira,caryophyllea,,,Angiosperm,8,,Hairgrass    ,,,,,,,,,,
Kenneth S Norris Rancho Marino,9,Aira caryophyllea,Poaceae,Aira,caryophyllea,,,Angiosperm,9,,Hair grass,,,,,,,,,,
Stebbins Cold Canyon,10,Aira caryophyllea,Poaceae,Aira,caryophyllea,,,Angiosperm,10,,Hairgrass,,Native to Europe,Open or disturbed sites,April-June,,,,,,
McLaughlin,1,Aira elegantissima,Poaceae,Aira,elegantissima,,,Angiosperm,1,,,,,,,,,,,,
Bodega,1,Aira praecox,Poaceae,Aira,praecox,,,Angiosperm,1,,,,introduced,,,,,,,,
Kenneth S Norris Rancho Marino,1,Alcea rosea,Malvaceae,Alcea,rosea,,,Angiosperm,1,,Hollyhock,,,,,,,,,,
Bodega,1,Alisma plantago-aquatica,Alismataceae,Alisma,plantago-aquatica,,,Angiosperm,1,,Water plantain,,native,,,,,,,,
Jepson Prairie,2,Alisma plantago-aquatica,Alismataceae,Alisma,plantago-aquatica,,,Angiosperm,2,,,,,,,,,,,,
Chickering American River,1,Allatropa virgata,Pyrolaceae,Allatropa,virgata,,,Angiosperm,1,,,,,,,,,,,,
Boyd Deep Canyon,1,Allionia incarnata,Nyctaginaceae,Allionia,incarnata,var.,villosa,Angiosperm,1,,,,,,,,,,,,
Burns Pinon Ridge,2,Allionia incarnata,Nyctaginaceae,Allionia,incarnata,,,Angiosperm,2,,,,,,,,,,,,
Sweeney Granite Mountains ,3,Allionia incarnata,Nyctaginaceae,Allionia,incarnata,,,Angiosperm,3,,windmills,,,,,,,,,,
Chickering American River,1,Allium  companulatum,Amaryllidacea,Allium ,companulatum,,,Angiosperm,1,,,,,,,,,,,,
Chickering American River,1,Allium  obtusum,Amaryllidacea,Allium ,obtusum,,,Angiosperm,1,,,,,,,,,,,,
Chickering American River,1,Allium  platycaule,Amaryllidacea,Allium ,platycaule,,,Angiosperm,1,,,,,,,,,,,,
Chickering American River,1,Allium  tribracteatum,Amaryllidacea,Allium ,tribracteatum,,,Angiosperm,1,,,,,,,,,,,,
McLaughlin,1,Allium acuminatum,Liliaceae,Allium,acuminatum,,,Angiosperm,1,,,,,,,,,,,,
Blue Oak Ranch,1,Allium amplectens,Liliaceae,Allium,amplectens,,,Angiosperm,1,,,,,,,,,,,,
Jepson Prairie,2,Allium amplectens,Liliaceae,Allium,amplectens,,,Angiosperm,2,,,,,,,,,,,,
McLaughlin,3,Allium amplectens,Liliaceae,Allium,amplectens,,,Angiosperm,3,,,,,,,,,,,,
SNARL,1,Allium atrorubens,Liliaceae,Allium,atrorubens,var.,cristatum,Angiosperm,1,,,,,see SNARL list (original),,,,,,,
Sweeney Granite Mountains ,2,Allium atrorubens,Liliaceae,Allium,atrorubens,var.,cristatum,Angiosperm,2,A. nevadense var.,dark red onion,,,,,,,,,,
SNARL,1,Allium bisceptrum,Liliaceae,Allium,bisceptrum,var.,bisceptrum,Angiosperm,1,,,,,see SNARL list (original),,,,,,,
Valentine,2,Allium bisceptrum,Liliaceae,Allium,bisceptrum,var.,bisceptrum,Angiosperm,2,,,,,Sierran Upper Montane Forest,,,,,,,
Boyd Deep Canyon,1,Allium burlewii,Liliaceae,Allium,burlewii,,,Angiosperm,1,,,,,,,,,,,,
James San Jacinto Mountains,2,Allium burlewii,Liliaceae,Allium,burlewii,,,Angiosperm,2,,,,,,,,,,,,
Sagehen Creek,1,Allium campanulatum,Liliaceae,Allium,campanulatum,,,Angiosperm,1,,,,,,,,,,,,
Hastings,1,Allium crispum,Liliaceae,Allium,crispum,,,Angiosperm,1,,,,,,,,,,,,
Sedgewick,2,Allium crispum,Liliaceae,Allium,crispum,,,Angiosperm,2,,,,,,,,,,,,
Bodega,1,Allium dichlamydeum,Liliaceae,Allium,dichlamydeum,,,Angiosperm,1,,Wild onion,,native,,,,,,,,
McLaughlin,2,Allium dichlamydeum,Liliaceae,Allium,dichlamydeum,,,Angiosperm,2,,,,,,,,,,,,
Angelo Coast Range,1,Allium falcifolium,Liliaceae,Allium,falcifolium,,,Angiosperm,1,,,,,,,,,,,,
Blue Oak Ranch,2,Allium falcifolium,Liliaceae,Allium,falcifolium,,,Angiosperm,2,,,,,,,,,,,,
McLaughlin,3,Allium falcifolium,Liliaceae,Allium,falcifolium,,,Angiosperm,3,,,,,,,,,,,,
Boyd Deep Canyon,1,Allium fimbriatum,Liliaceae,Allium,fimbriatum,var.,fimbriatum,Angiosperm,1,,,,,,,,,,,,
Burns Pinon Ridge,2,Allium fimbriatum,Alliaceae ,Allium,fimbriatum,var.,fimbriatum,Angiosperm,2,,,,,,,,,,,,
McLaughlin,3,Allium fimbriatum,Liliaceae,Allium,fimbriatum,var.,purdyi,Angiosperm,3,,,,,,,,,,,,
McLaughlin,4,Allium fimbriatum,Liliaceae,Allium,fimbriatum,var.,fimbriatum,Angiosperm,4,,,,,,,,,,,,
Elliot Chaparral,1,Allium haematochiton,Liliaceae,Allium,haematochiton,,,Angiosperm,1,,,,,,,,,,,,
Sedgewick,2,Allium haematochiton,Liliaceae,Allium,haematochiton,,,Angiosperm,2,,,,,,,,,,,,
Stunt Ranch Santa Monica Mountains,3,Allium haematochiton,Alliaceae,Allium,haematochiton,,,Angiosperm,3,,,,,,,,,,,,
Sagehen Creek,1,Allium lemmonii,Liliaceae,Allium,lemmonii,,,Angiosperm,1,,,,,,,,,,,,
Elliot Chaparral,1,Allium parryi,Liliaceae,Allium,parryi,,,Angiosperm,1,,,,,,,,,,,,
Sagehen Creek,1,Allium parvum,Liliaceae,Allium,parvum,,,Angiosperm,1,,,,,,,,,,,,
Elliot Chaparral,1,Allium peninsulare,Liliaceae,Allium,peninsulare,,,Angiosperm,1,,,,,,,,,,,,
McLaughlin,1,Allium serra,Liliaceae,Allium,serra,,,Angiosperm,1,,,,,,,,,,,,
Quail Ridge,2,Allium serra,Liliaceae,Allium,serra,,,Angiosperm,2,,Wild onion   ,,,,,,,,,,
Stebbins Cold Canyon,3,Allium serra,Liliaceae,Allium,serra,,,Angiosperm,3,,Wild onion,,,Grassy slopes,March-May,,,,,,
Elliot Chaparral,1,Allium sp.,Liliaceae,Allium,sp.,,,Angiosperm,1,,,,,,,,,,,,
Fort Ord,2,Allium sp.,Liliaceae,Allium,sp.,,,Angiosperm,2,,,,,,,,,,,,
Bodega,1,Allium triquetrum,Liliaceae,Allium,triquetrum,,,Angiosperm,1,,Wild onion,,introduced,,,,,,,,
Angelo Coast Range,1,Allium unifolium,Liliaceae,Allium,unifolium,,,Angiosperm,1,,,,,,,,,,,,
Landells-Hill Big Creek,2,Allium unifolium,Amaryllidacea,Allium,unifolium,,,Angiosperm,2,,One-Leaved Onion ,,,,,,,,,,
Sagehen Creek,1,Allium validum,Liliaceae,Allium,validum,,,Angiosperm,1,,,,,,,,,,,,
Elliot Chaparral,1,Allophyllum divaricatum,Polemoniaceae,Allophyllum,divaricatum,,,Angiosperm,1,,,,,,,,,,,,
Landells-Hill Big Creek,2,Allophyllum divaricatum,Polemoniaceae,Allophyllum,divaricatum,,,Angiosperm,2,,Straggling Gilia ,,,,,,,,,,
McLaughlin,3,Allophyllum divaricatum,Polemoniaceae,Allophyllum,divaricatum,,,Angiosperm,3,,,,,,,,,,,,
Stebbins Cold Canyon,4,Allophyllum divaricatum,Polemoniaceae,Allophyllum,divaricatum,,,Angiosperm,4,,Pink false gilia,,,"Chaparral, woodland, particularly following a fire",April-June,,,,,,
Blue Oak Ranch,1,Allophyllum gilioides,Polemoniaceae,Allophyllum,gilioides,,,Angiosperm,1,,,,,,,,,,,,
Boyd Deep Canyon,2,Allophyllum gilioides,Polemoniaceae,Allophyllum,gilioides,ssp.,violaceum,Angiosperm,2,A. violaceum,,,,,,,,,,,
Elliot Chaparral,3,Allophyllum gilioides,Polemoniaceae,Allophyllum,gilioides,,,Angiosperm,3,,,,,,,,,,,,
Hastings,4,Allophyllum gilioides,Polemoniaceae,Allophyllum,gilioides,,,Angiosperm,4,,,,,,,,,,,,
McLaughlin,5,Allophyllum gilioides,Polemoniaceae,Allophyllum,gilioides,,,Angiosperm,5,,,,,,,,,,,,
Quail Ridge,6,Allophyllum gilioides,Polemoniaceae,Allophyllum,gilioides,,,Angiosperm,6,,    ,,,,,,,,,,
SNARL,7,Allophyllum gilioides,Polemoniaceae,Allophyllum,gilioides,ssp.,violaceum,Angiosperm,7,,,,,see SNARL list (original),,,,,,,
Stebbins Cold Canyon,8,Allophyllum gilioides,Polemoniaceae,Allophyllum,gilioides,,,Angiosperm,8,,Blue false gilia,,,"Open, damp or grassy sites",April-June,,,,,,
Valentine,9,Allophyllum gilioides,Polemoniaceae,Allophyllum,gilioides,ssp.,violaceum,Angiosperm,9,,,,,Sierran Upper Montane Forest,,,,,,,
Elliot Chaparral,1,Allophyllum glutinosum,Polemoniaceae,Allophyllum,glutinosum,,,Angiosperm,1,,,,,,,,,,,,
Stunt Ranch Santa Monica Mountains,2,Allophyllum glutinosum,Polemoniaceae,Allophyllum,glutinosum,,,Angiosperm,2,,,,,,,,,,,,
Boyd Deep Canyon,1,Allophyllum integrifolium,Polemoniaceae,Allophyllum,integrifolium,,,Angiosperm,1,,,,,,,,,,,,
Chickering American River,2,Allophyllum integrifolium,Polemoniaceae,Allophyllum,integrifolium,,,Angiosperm,2,,,,,,,,,,,,
Valentine,3,Allophyllum integrifolium,Polemoniaceae,Allophyllum,integrifolium,,,Angiosperm,3,,,,,Sierran Upper Montane Forest,,,,,,,
Sedgewick,1,Allophyllum sp.,Polemoniaceae,Allophyllum,sp.,,,Angiosperm,1,,,,,,,,,,,,
Chickering American River,1,Allophyllum violaceum,Polemoniaceae,Allophyllum,violaceum,,,Angiosperm,1,,,,,,,,,,,,
Angelo Coast Range,1,Allotropa virgata,Ericaceae,Allotropa,virgata,,,Angiosperm,1,,,,,,,,,,,,
Valentine,1,Alnus incana,Betulaceae,Alnus,incana,ssp.,tenuifolia,Angiosperm,1,,,,,Seep and Spring Vegetation,,,,,,,
Angelo Coast Range,1,Alnus rhombifolia,Betulaceae,Alnus,rhombifolia,,,Angiosperm,1,,,,,,,,,,,,
Blue Oak Ranch,2,Alnus rhombifolia,Betulaceae,Alnus,rhombifolia,,,Angiosperm,2,,,,,,,,,,,,
Boyd Deep Canyon,3,Alnus rhombifolia,Betulaceae,Alnus,rhombifolia,,,Angiosperm,3,,,,,,,,,,,,
Hastings,4,Alnus rhombifolia,Betulaceae,Alnus,rhombifolia,,,Angiosperm,4,,,,,,,,,,,,
James San Jacinto Mountains,5,Alnus rhombifolia,Betulaceae,Alnus,rhombifolia,,,Angiosperm,5,,,,,,,,,,,,
Jepson Prairie,6,Alnus rhombifolia,Betulaceae,Alnus,rhombifolia,,,Angiosperm,6,,,,,,,,,,,,
Landells-Hill Big Creek,7,Alnus rhombifolia,Betulaceae  ,Alnus,rhombifolia,,,Angiosperm,7,,White Alder ,,,,,,,,,,
Chickering American River,1,Alnus tenuifolia,Betulaceae,Alnus,tenuifolia,,,Angiosperm,1,,,,,,,,,,,,
Scripps Coastal,1,Aloe sp.,Liliaceae,Aloe,sp.,,,Angiosperm,1,,,,,,,,,,,,
James San Jacinto Mountains,1,Alopecurus aequalis,Poaceae,Alopecurus,aequalis,,,Angiosperm,1,,,,,,,,,,,,
Valentine,2,Alopecurus aequalis,Poaceae,Alopecurus,aequalis,,,Angiosperm,2,,,,,High Montane Riparian Woodland,,,,,,,
Blue Oak Ranch,1,Alopecurus saccatus,Poaceae,Alopecurus,saccatus,,,Angiosperm,1,,,,,,,,,,,,
Jepson Prairie,2,Alopecurus saccatus,Poaceae,Alopecurus,saccatus,,,Angiosperm,2,,,,,,,,,,,,
Stunt Ranch Santa Monica Mountains,1,Amaranthus,Amaranthaceae,Amaranthus,,,,Angiosperm,1,Amaranthus,,,Exotic,,,,,,,,
Boyd Deep Canyon,1,Amaranthus albus,Amaranthaceae,Amaranthus,albus,,,Angiosperm,1,,,,,,,,,,,,
Burns Pinon Ridge,2,Amaranthus albus,Amaranthaceae,Amaranthus,albus,,,Angiosperm,2,,,,,,,,,,,,
Hastings,3,Amaranthus albus,Amaranthaceae,Amaranthus,albus,,,Angiosperm,3,,,,,,,,,,,,
James San Jacinto Mountains,4,Amaranthus albus,Amaranthaceae,Amaranthus,albus,,,Angiosperm,4,,,,,,,,,,,,
Jepson Prairie,5,Amaranthus albus,Amaranthaceae,Amaranthus,albus,,,Angiosperm,5,,,,,,,,,,,,
Quail Ridge,6,Amaranthus albus,Amaranthaceae,Amaranthus,albus,,,Angiosperm,6,,Tumbleweed    ,,,,,,,,,,
San Joaquin Freshwater Marsh,7,Amaranthus albus,Amaranthaceae,Amaranthus,albus,,,Angiosperm,7,,,,,,,,,,,,
Sweeney Granite Mountains ,8,Amaranthus albus,Amaranthaceae,Amaranthus,albus,,,Angiosperm,8,,tumbleweed,,,,,,,,,,
Hastings,1,Amaranthus blitoides,Amaranthaceae,Amaranthus,blitoides,,,Angiosperm,1,,,,,,,,,,,,
Jepson Prairie,2,Amaranthus blitoides,Amaranthaceae,Amaranthus,blitoides,,,Angiosperm,2,,,,,,,,,,,,
San Joaquin Freshwater Marsh,3,Amaranthus blitoides,Amaranthaceae,Amaranthus,blitoides,,,Angiosperm,3,,,,,,,,,,,,
SNARL,4,Amaranthus blitoides,Amaranthaceae,Amaranthus,blitoides,,,Angiosperm,4,,,,,see SNARL list (original),,,,,,,
Sweeney Granite Mountains ,5,Amaranthus blitoides,Amaranthaceae,Amaranthus,blitoides,,,Angiosperm,5,,prostrate amaranth,,,,,,,,,,
Elliot Chaparral,1,Amaranthus californicus,Amaranthaceae,Amaranthus,californicus,,,Angiosperm,1,,,,,,,,,,,,
McLaughlin,2,Amaranthus californicus,Amaranthaceae,Amaranthus,californicus,,,Angiosperm,2,,,,,,,,,,,,
Boyd Deep Canyon,1,Amaranthus fimbriatus,Amaranthaceae,Amaranthus,fimbriatus,,,Angiosperm,1,,,,,,,,,,,,
Burns Pinon Ridge,2,Amaranthus fimbriatus,Amaranthaceae,Amaranthus,fimbriatus,,,Angiosperm,2,,,,,,,,,,,,
Sweeney Granite Mountains ,3,Amaranthus fimbriatus,Amaranthaceae,Amaranthus,fimbriatus,,,Angiosperm,3,,fringed amaranth,,,,,,,,,,
Carpinteria Salt Marsh,1,Amaranthus hybridus,Amaranthaceae,Amaranthus,hybridus,,,Angiosperms,1,,Spleen Amaranth    ,,,,,,,,,,
Carpinteria Salt Marsh,1,Amaranthus powellii,Amaranthaceae,Amaranthus,powellii,,,Angiosperms,1,,Powell's Amaranth    ,,,,,,,,,,
Boyd Deep Canyon,1,Amaranthus retroflexus,Amaranthaceae,Amaranthus,retroflexus,,,Angiosperm,1,,,,,,,,,,,,
Hastings,2,Amaranthus retroflexus,Amaranthaceae,Amaranthus,retroflexus,,,Angiosperm,2,,,,,,,,,,,,
San Joaquin Freshwater Marsh,3,Amaranthus retroflexus,Amaranthaceae,Amaranthus,retroflexus,,,Angiosperm,3,,,,,,,,,,,,
Carpinteria Salt Marsh,1,Amaryllis belladonna,Amaryllidacea,Amaryllis,belladonna,,,Angiosperms,1,,Naked Lady    ,,,,,,,,,,
Fort Ord,2,Amaryllis belladonna,Liliaceae,Amaryllis,belladonna,,,Angiosperm,2,,"Naked lady, belladonna lily",,Exotic,,,,,,,,
Boyd Deep Canyon,1,Amauriopsis dissecta,Asteraceae,Amauriopsis,dissecta,,,Angiosperm,1,Bahia d. ,,,,,,,,,,,
Scripps Coastal,1,Amblyopappus pusillus,Asteraceae,Amblyopappus,pusillus,,,Angiosperm,1,,,,,,,,,,,,
Boyd Deep Canyon,1,Ambrosia acanthicarpa,Asteraceae,Ambrosia,acanthicarpa,,,Angiosperm,1,Franseria a.,,,,,,,,,,,
Burns Pinon Ridge,2,Ambrosia acanthicarpa,Asteraceae,Ambrosia,acanthicarpa,,,Angiosperm,2,,,,,,,,,,,,
San Joaquin Freshwater Marsh,3,Ambrosia acanthicarpa,Asteraceae,Ambrosia,acanthicarpa,,,Angiosperm,3,,,,,,,,,,,,
Sweeney Granite Mountains ,1,Ambrosia artemisifolia,Asteraceae,Ambrosia,artemisifolia,,,Angiosperm,1,,common ragweed,,,,,,,,,,
Scripps Coastal,1,Ambrosia bipinnatifida,Asteraceae,Ambrosia,bipinnatifida,,,Angiosperm,1,,,,,,,,,,,,
Bodega,1,Ambrosia chamissonis,Asteraceae,Ambrosia,chamissonis,,,Angiosperm,1,,Beach bur,,native,,,,,,,,
Carpinteria Salt Marsh,2,Ambrosia chamissonis,Asteraceae,Ambrosia,chamissonis,,,Angiosperms,2,,Beach-Bur     ,,,,,,,,,,
Coal Oil Point,3,Ambrosia chamissonis,Asteraceae,Ambrosia,chamissonis,,,Angiosperm,3,,Beach Burr,,,,,,,,,,
Kendall-Frost Mission Bay Marsh,4,Ambrosia chamissonis,Asteraceae,Ambrosia,chamissonis,,,Angiosperm,4,,,,,,,,,,,,
Landells-Hill Big Creek,5,Ambrosia chamissonis,Asteraceae,Ambrosia,chamissonis,,,Angiosperm,5,,Beach Bur ,,,,,,,,,,
Boyd Deep Canyon,1,Ambrosia dumosa,Asteraceae,Ambrosia,dumosa,,,Angiosperm,1,Franseria d. ,,,,,,,,,,,
Sweeney Granite Mountains ,2,Ambrosia dumosa,Asteraceae,Ambrosia,dumosa,,,Angiosperm,2,,burro-weed,,,,,,,,,,
Sweeney Granite Mountains ,1,Ambrosia eriocentra,Asteraceae,Ambrosia,eriocentra,,,Angiosperm,1,,woolly bur-sage,,,,,,,,,,
Boyd Deep Canyon,1,Ambrosia ilicifolia,Asteraceae,Ambrosia,ilicifolia,,,Angiosperm,1,Franseria i. ,,,,,,,,,,,
Burns Pinon Ridge,1,Ambrosia psilostachya,Asteraceae,Ambrosia,psilostachya,,,Angiosperm,1,,,,,,,,,,,,
Carpinteria Salt Marsh,2,Ambrosia psilostachya,Asteraceae,Ambrosia,psilostachya,,,Angiosperms,2,,Western Ragweed    ,,,,,,,,,,
Coal Oil Point,3,Ambrosia psilostachya,Asteraceae,Ambrosia,psilostachya,,,Angiosperm,3,,Western Ragweed,,,,,,,,,,
Dawson Los Monos Canyon,4,Ambrosia psilostachya,Asteraceae,Ambrosia,psilostachya,,,Angiosperm,4,,,,,,,,,,,,
Jepson Prairie,5,Ambrosia psilostachya,Asteraceae,Ambrosia,psilostachya,,,Angiosperm,5,,,,,,,,,,,,
San Joaquin Freshwater Marsh,6,Ambrosia psilostachya,Asteraceae,Ambrosia,psilostachya,,,Angiosperm,6,,,,,,,,,,,,
Boyd Deep Canyon,1,Ambrosia salsola,Asteraceae,Ambrosia,salsola,,,Angiosperm,1,Hymenoclea s. ,,,,,,,,,,,
Chickering American River,1,Amelanchier pallida,Rosaceae,Amelanchier,pallida,,,Angiosperm,1,,,,,,,,,,,,
Angelo Coast Range,1,Amelanchier utahensis,Rosaceae,Amelanchier,utahensis,,,Angiosperm,1,,,,,,,,,,,,
Blue Oak Ranch,2,Amelanchier utahensis,Rosaceae,Amelanchier,utahensis,,,Angiosperm,2,,,,,,,,,,,,
Boyd Deep Canyon,3,Amelanchier utahensis,Rosaceae,Amelanchier,utahensis,,,Angiosperm,3,A. pallida,,,,,,,,,,,
Sweeney Granite Mountains ,4,Amelanchier utahensis,Rosaceae,Amelanchier,utahensis,,,Angiosperm,4,,Utah service berry,,,,,,,,,,
Valentine,5,Amelanchier utahensis,Rosaceae,Amelanchier,utahensis,,,Angiosperm,5,,,,,Great Basin Sagebrush Vegetation,,,,,,,
Jepson Prairie,1,Ammannia coccinea,Lythraceae,Ammannia,coccinea,,,Angiosperm,1,,,,,,,,,,,,
Bodega,1,Ammophila arenaria,Poaceae,Ammophila,arenaria,,,Angiosperm,1,,European beachgrass,,introduced,,,,,,,,
